Rank,Title,iSSN (print)
1,Political Communication,10584609
2,Journal of Advertising,15577805
3,Journal of Communication,219916
4,Big Data and Society,20539517
5,Applied Linguistics,1426001
6,Communication Methods and Measures,19312466
7,New Media and Society,14614448
8,Human Communication Research,3603989
9,Public Opinion Quarterly,0033362X
10,Digital Journalism,2167082X
11,Information Communication and Society,1369118X
12,Communication Research,936502
13,Mass Communication and Society,15205436
14,Communication Theory,14682885
15,International Journal of Advertising,17593948
16,International Journal of Press/Politics,19401612
17,Social Media and Society,20563051
18,Communication Monographs,3637751
19,Media Psychology,1532785X
20,Journal of Advertising Research,218499
21,Journalism and Mass Communication Quarterly,2161430X
22,Journalism,14648849
23,Internet Research,10662243
24,Mobile Media and Communication,20501579
25,Journalism Studies,1461670X
26,Group Processes and Intergroup Relations,14617188
27,Journal of Broadcasting and Electronic Media,8838151
28,Research on Language and Social Interaction,8351813
29,Telematics and Informatics,7365853
30,"Cyberpsychology, Behavior, and Social Networking",21522715
31,"Media, Culture and Society",1634437
32,European Journal of Communication,2673231
33,Journalism Practice,17512786
34,Convergence,17487382
35,Feminist Media Studies,14680777
36,Learning Environments Research,15731855
37,"Crime, Media, Culture",17416590
38,Poetics,0304422X
39,Signs and Society,23264497
40,Public Relations Review,3638111
41,Public Understanding of Science,9636625
42,Review of Communication Research,22554165
43,Journal of Social and Personal Relationships,2654075
44,Comunicar,11343478
45,Internet Policy Review,21976775
46,Learned Publishing,9531513
47,Written Communication,7410883
48,Journal of Media Psychology,18641105
49,Journal of Family Communication,15327698
50,Vehicular Communications,22142096
51,Discourse Processes,0163853X
52,Journal of Business and Technical Communication,15524574
53,International Journal of Strategic Communication,1553118X
54,Digital Communications and Networks,23528648
55,Health Communication,10410236
56,International Communication Gazette,17480485
57,International Journal of Communication,19328036
58,Public Culture,15278018
59,Discourse Studies,14614456
60,Journal of Health Communication,10810730
61,Psychology of Popular Media Culture,21604142
62,Symbolic Interaction,15338665
63,Journal of Children and Media,17482801
64,"Technology, Pedagogy and Education",17475139
65,"International Journal of Science Education, Part B: Communication and Public Engagement",21548455
66,Discourse and Society,14603624
67,Metaphor and Symbol,15327868
68,Technical Communication Quarterly,15427625
69,Management Communication Quarterly,8933189
70,Communication Education,3634523
71,Games and Culture,15554139
72,Discourse and Communication,17504813
73,Popular Communication,15405702
74,"Discourse, Context and Media",22116958
75,Technical Communication,493155
76,Critical Studies in Media Communication,14795809
77,Cyberpsychology,18027962
78,Communication Studies,17451035
79,Journal of Communication Management,1363254X
80,Cultural Trends,14693690
81,Journal of Applied Communication Research,14795752
82,Negotiation and Conflict Management Research,17504716
83,Multilingua,1678507
84,Communication Research Reports,8824096
85,Target,9241884
86,International Journal of Conflict Management,10444068
87,Communication and Sport,21674809
88,Journal of English as a Lingua Franca,21919216
89,Media and Communication,21832439
90,Journal of Empirical Research on Human Research Ethics,15562646
91,Language and Intercultural Communication,14708477
92,Communication Quarterly,1463373
93,"Communication, Culture and Critique",17539129
94,Language and Communication,2715309
95,TripleC,1726670X
96,Chinese Journal of Communication,17544769
97,Javnost,18548377
98,JMM International Journal on Media Management,14241250
99,Information Polity,18758754
100,Communication Reports,8934215
101,Journal of Interactive Advertising,15252019
102,Communications,3412059
103,Women's Studies in Communication,7491409
104,Speech Communication,1676393
105,International Journal of Listening,10904018
106,Rhetoric Society Quarterly,1930322X
107,Journal of Media Ethics: Exploring Questions of Media Morality,2373700X
108,Informatics in Education,16485831
109,Asian Journal of Communication,1292986
110,Journal of International and Intercultural Communication,17513065
111,Journal of Media Business Studies,16522354
112,Social Semiotics,10350330
113,Educational Media International,14695790
114,Network Science,20501250
115,Online Social Networks and Media,24686964
116,Journalism & communication monographs,15226379
117,Publishing Research Quarterly,19364792
118,Profesional de la Informacion,16992407
119,Interaction Studies,15720381
120,Communication and the Public,20570481
121,Gesture,15699773
122,Translation Spaces(Netherland),22113711
123,Western Journal of Communication,10570314
124,Nordicom Review,14031108
125,Quarterly Journal of Speech,335630
126,American Speech,15272133
127,Intercultural Pragmatics,1613365X
128,Communication and Critical/ Cultural Studies,14791420
129,Studies in Language,3784177
130,Dialogue and Discourse,21529620
131,Media International Australia,1329878X
132,Journal of Science Communication,18242049
133,Visitor Studies,10645578
134,"South African journal of communication disorders. Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings, The",3798046
135,Science Editing,22887474
136,Public Relations Inquiry,20461488
137,Revista Latina de Comunicacion Social,11385820
138,"Media, War and Conflict",17506352
139,Information Technology and Management,1385951X
140,Social Network Analysis and Mining,18695450
141,Global Media and Communication,17427665
142,Informatics,22279709
143,Journal of Interactive Media in Education,1365893X
144,Journalism and Mass Communication Educator,21614326
