search-results__entry__prism:url,title,author,publicationName,eIssn,Vol,issue,Pages,Date,Cited-by,university_affiliation,city,country,type,OA,issn
https://api.elsevier.com/content/abstract/scopus_id/85079752966,"Between innovation and standardization, is there still a room for scientific reports? The rise of a formatting tradition in periodontal research",Galli C.,Publications,23046775,7,4,null,12/1/2019,1,Università degli Studi di Parma,Parma,Italy,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077718868,Does academic publishing lead to work-related stress or happiness?,Kubátová J.,Publications,23046775,7,4,null,1/1/2019,0,Univerzita Palackého v Olomouci,Olomouc,Czech Republic,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077712176,Mapping the publishing challenges for an open access university press,Taylor M.,Publications,23046775,7,4,12-Jan,1/1/2019,1,University of Huddersfield,Huddersfield,United Kingdom,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077688158,"Competence-based management research in the web of science and scopus databases: Scientific production, collaboration, and impact",Silva V.V.M.,Publications,23046775,7,4,null,1/1/2019,1,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077686848,Perceived challenges to anglophone publication at three universities in Chile,Broekhoff M.,Publications,23046775,7,4,null,1/1/2019,0,University of Oregon,Eugene,United States,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077676228,Third mission as an opportunity for professionalization in science management,Henke J.,Publications,23046775,7,4,null,1/1/2019,1,Institute for Higher Education Research Halle-Wittenberg (HoF),Wittenberg,Germany,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077675471,Communication on the science-policy interface: An overview of conceptual models,Sokolovska N.,Publications,23046775,7,4,null,1/1/2019,2,HIIG,Berlin,Germany,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85077674436,"Open science in the humanities, or: Open humanities?",Knöchelmann M.,Publications,23046775,7,4,null,1/1/2019,1,University College London,London,United Kingdom,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074212813,The impact of open access on teaching-how far have we come?,Gadd E.,Publications,23046775,7,3,null,1/1/2019,0,Loughborough University,Loughborough,United Kingdom,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074207481,The transcript OPEN library political science model: A sustainable way into open access for e-books in the humanities and social sciences,Jobmann A.,Publications,23046775,7,3,null,1/1/2019,0,Universität Bielefeld,Bielefeld,Germany,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074203133,"Curation and publication of simulation data in Designsafe, a natural hazards engineering open platform and repository",Esteva M.,Publications,23046775,7,3,null,1/1/2019,0,The University of Texas at Austin,Austin,United States,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074202142,Replication papers,Harremoës P.,Publications,23046775,7,3,null,1/1/2019,2,Niels Brock Copenhagen Business College,Copenhagen,Denmark,Review,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074193275,"Scholarly Journals' publication frequency and number of articles in 2018-2019: A study of SCI, SSCI, CSCD, and CSSCI Journals",Chen X.,Publications,23046775,7,3,null,1/1/2019,1,Bradley University,Peoria,United States,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074193175,Third mission activities at Austrian universities of applied sciences: Results from an expert survey,Gaisch M.,Publications,23046775,7,3,null,1/1/2019,0,"University of Applied Sciences Upper Austria, School of Engineering",Wels,Austria,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074191874,The value of scientific knowledge dissemination for scientists-a value capture perspective,Beck S.,Publications,23046775,7,3,null,1/1/2019,2,Copenhagen Business School,Copenhagen,Denmark,Article,TRUE,
,,,,,,,,,,LBG Open Innovation in Science Center,Vienna,Austria,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85074187622,Rinse and repeat: Understanding the value of replication across different ways of knowing,Penders B.,Publications,23046775,7,3,null,1/1/2019,3,Maastricht University,Maastricht,Netherlands,Article,TRUE,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85073008556,Which are the tools available for scholars? A review of assisting software for authors during peer reviewing process,Martínez-López J.,Publications,23046775,7,3,null,1/1/2019,0,Tecnologico de Monterrey,Monterrey,Mexico,Review,TRUE,
,,,,,,,,,,Centro de Investigación Numericalc,Monterrey,Mexico,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
