Article_URL,Article_Title,Article_Author,Journal_Name,Journal_ISSN,Journal_eISSN,Article_Issue,Article_Pages,Article_Date,Article_DOI,Article_CitedBy,Article_Type,Article_OA,Article_Author_University,Article_Author_City,Article_Author_Country,Article_Volume
https://api.elsevier.com/content/abstract/scopus_id/85078538804,A re-examination of the lemma through digital and functional lenses,Agerbo H.,Hermes (Denmark),9041699,19031785,59,207-230,1/1/2019,10.7146/hjlcb.v59i1.117040,0,Article,TRUE,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078538304,The diverse field of professional writing: Current perspectives on writing in the workplace,Schrijver I.,Hermes (Denmark),9041699,19031785,59,14-Jul,1/1/2019,10.7146/hjlcb.v59i1.117315,0,Article,TRUE,Universiteit Antwerpen,Antwerpen,Belgium,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078527073,The construction of semantic waves of knowledge-building: High school students' natural science writing,Svensson B.,Hermes (Denmark),9041699,19031785,59,139-152,1/1/2019,10.7146/hjlcb.v59i1.117037,0,Article,TRUE,Göteborgs Universitet,Gothenburg,Sweden,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078526875,Writing research and specialized communication studies,Heidrich F.,Hermes (Denmark),9041699,19031785,59,53-70,1/1/2019,10.7146/hjlcb.v59i1.116984,0,Article,TRUE,Universität Hildesheim,Hildesheim,Germany,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078524909,"Reference works and sources in english-Spanish, Spanish-english specialized translation: Some examples of documentary resources for legal and economic translation",Llopis M.,Hermes (Denmark),9041699,19031785,59,189-206,1/1/2019,10.7146/hjlcb.v59i1.117039,0,Article,TRUE,Universidad de Murcia,Murcia,Spain,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078524634,The (inter)cultural missing link in conference interpreting,Leal Lobato A.L.,Hermes (Denmark),9041699,19031785,59,91-108,1/1/2019,10.7146/hjlcb.v59i1.117044,0,Article,TRUE,Aarhus Universitet,Aarhus,Denmark,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078523755,"Empathy, emotions and patient-centredness: A case study on communication strategies",Muñoz-Miquel A.,Hermes (Denmark),9041699,19031785,59,71-89,1/1/2019,10.7146/hjlcb.v59i1.116990,0,Article,TRUE,Universidad Jaume I,Castellon de la Plana,Spain,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078523015,Disseminating and hiding information in technical communication courses: The case of patents from the perspective of digital humanities,Anesa P.,Hermes (Denmark),9041699,19031785,59,231-247,1/1/2019,10.7146/hjlcb.v59i1.117041,0,Article,TRUE,Università degli Studi di Bergamo,Bergamo,Italy,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078522139,Analysing revisions in online writing,Haugaard R.,Hermes (Denmark),9041699,19031785,59,35-51,1/1/2019,10.7146/hjlcb.v59i1.116981,0,Article,TRUE,Aalborg Universitet,Aalborg,Denmark,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078520750,Critical distinctions between expert and novice translators: Task and professional satisfaction,Rodríguez-Castro M.,Hermes (Denmark),9041699,19031785,59,123-138,1/1/2019,10.7146/hjlcb.v59i1.117021,0,Article,TRUE,The University of North Carolina at Charlotte,Charlotte,United States,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078516706,Teaching and practising interdiscursivity in the professional areas of engineering and health - A qualitative study,Breuer E.,Hermes (Denmark),9041699,19031785,59,15-33,1/1/2019,10.7146/hjlcb.v59i1.116972,0,Article,TRUE,University of Cologne,Koln,Germany,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078516309,Norwegian business professionals' need for and use of english as a business lingua franca (BELF) in multinational corporations,Nielsen T.H.,Hermes (Denmark),9041699,19031785,59,109-122,1/1/2019,10.7146/hjlcb.v59i1.117020,0,Article,TRUE,Universitetet i Oslo,Oslo,Norway,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85078514003,Coherence in hybrid texts: The case of the patient information leaflet genre,Hill-Madsen A.,Hermes (Denmark),9041699,19031785,59,153-187,1/1/2019,10.7146/hjlcb.v59i1.117038,0,Article,TRUE,Aalborg Universitet,Aalborg,Denmark,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052026950,Problem-based learning in computer-assisted translation pedagogy,Mellinger C.D.,Hermes (Denmark),9041699,19031785,,195-208,6/11/2018,10.7146/hjlcb.v0i57.106205,2,Conference Paper,TRUE,The University of North Carolina at Charlotte,Charlotte,United States,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052025967,Exploring the attitudes and expectations of iranian audiences in terms of professional dubbing into Persian,Ameri S.,Hermes (Denmark),9041699,19031785,,175-193,6/11/2018,10.7146/hjlcb.v0i57.106206,4,Conference Paper,TRUE,Ferdowsi University of Mashhad,Mashhad,Iran,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052023701,Testing indicators of translation expertise in an intralingual task,Whyatt B.,Hermes (Denmark),9041699,19031785,,63-78,6/11/2018,10.7146/hjlcb.v0i57.106194,1,Conference Paper,TRUE,Uniwersytet im. Adama Mickiewicza w Poznaniu,Poznan,Poland,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052022265,Exploring cognitive aspects of competence in sign language interpreting of dialogues: First impressions,Tiselius E.,Hermes (Denmark),9041699,19031785,,49-61,6/11/2018,10.7146/hjlcb.v0i57.106193,1,Conference Paper,TRUE,Stockholms universitet,Stockholm,Sweden,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052021681,"Culture, competence and intercultural competence: Global and local diversities in intercultural discourse",Strugielska A.,Hermes (Denmark),9041699,19031785,,109-123,6/11/2018,10.7146/hjlcb.v0i57.106195,1,Conference Paper,TRUE,Uniwersytet Mikołaja Kopernika w Toruniu,"Torun, Kujawsko-Pomorskie",Poland,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052021276,The nuances of brand personality: A corpus-assisted linguistic analysis of web-based communications of fashion brands,Camiciottoli B.C.,Hermes (Denmark),9041699,19031785,,141-159,6/11/2018,10.7146/hjlcb.v0i57.106197,0,Conference Paper,TRUE,Università di Pisa,Pisa,Italy,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052018893,Forms of hybridity in travel blogs,Anesa P.,Hermes (Denmark),9041699,19031785,,125-139,6/11/2018,10.7146/hjlcb.v0i57.106196,0,Conference Paper,TRUE,Università degli Studi di Bergamo,Bergamo,Italy,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052017538,Fascinatin’ rhythm – and pauses in translators’ cognitive processes,Martín R.,Hermes (Denmark),9041699,19031785,,29-47,6/11/2018,,3,Conference Paper,FALSE,Universidad de Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,Spain,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052014733,Levels of explanation and translation expertise,Shreve G.M.,Hermes (Denmark),9041699,19031785,,97-108,6/11/2018,10.7146/hjlcb.v0i57.106203,0,Conference Paper,TRUE,Kent State University,Kent,United States,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85052014086,Creativity and translation quality: Opposing enemies or friendly allies?,Rojo A.,Hermes (Denmark),9041699,19031785,,79-96,6/11/2018,10.7146/hjlcb.v0i57.106202,0,Conference Paper,TRUE,Universidad de Murcia,Murcia,Spain,57
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
