Article_URL,Article_Title,Article_Author,Journal_Name,Journal_ISSN,Journal_eISSN,Article_Volume,Article_Issue,Article_Pages,Article_Date,Article_DOI,Article_CitedBy,Article_Author_University,Article_Author_City,Article_Author_Country,Article_Type,Article_OA
https://api.elsevier.com/content/abstract/scopus_id/85075526014,Dissociating Power and Racism: Stokely Carmichael at Berkeley,Hatch J.D.,Advances in the History of Rhetoric,15362426,19360835,22,3,303-325,9/2/2019,10.1080/15362426.2019.1671705,0,The University of Texas at Austin,Austin,United States,Article,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85075525032,Chaim Perelman and Lucie Olbrechts-Tyteca: Introduction,Ritivoi A.,Advances in the History of Rhetoric,15362426,19360835,22,3,229-231,9/2/2019,10.1080/15362426.2019.1671699,0,Carnegie Mellon University,Pittsburgh,United States,Editorial,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85075522386,An Introduction to and Translation of Chaïm Perelman’s 1933 De l’arbitraire dans laconnaissance [On the Arbitrary in Knowledge],Bolduc M.,Advances in the History of Rhetoric,15362426,19360835,22,3,232-275,9/2/2019,10.1080/15362426.2019.1671700,0,University of Exeter,Exeter,United Kingdom,Article,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85075515933,Misunderstanding the Universal Audience,Gross A.,Advances in the History of Rhetoric,15362426,19360835,22,3,290-302,9/2/2019,10.1080/15362426.2019.1671704,0,University of Minnesota System,null,United States,Article,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85075509008,Translation and Translatio in the New Rhetoric Project’s Rediscovery of Rhetoric,Bolduc M.,Advances in the History of Rhetoric,15362426,19360835,22,3,276-289,9/2/2019,10.1080/15362426.2019.1671701,0,University of Exeter,Exeter,United Kingdom,Article,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85075506119,Editor’s Valedictory,Walzer A.,Advances in the History of Rhetoric,15362426,19360835,22,3,227-228,9/2/2019,10.1080/15362426.2019.1671698,0,University of Minnesota System,null,United States,Editorial,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85068236669,Building Praise: Augustan Rome and Epideictic,Lamp K.,Advances in the History of Rhetoric,15362426,19360835,22,2,153-166,5/4/2019,10.1080/15362426.2019.1618054,0,Arizona State University,Tempe,United States,Article,FALSE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85068232927,Diversity in and among Rhetorical Traditions,Stroud S.,Advances in the History of Rhetoric,15362426,19360835,22,2,120-124,5/4/2019,10.1080/15362426.2019.1618051,0,The University of Texas at Austin,Austin,United States,Editorial,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
https://api.elsevier.com/content/abstract/scopus_id/85068227773,Editor’s Note,Walzer A.,Advances in the History of Rhetoric,15362426,19360835,22,2,119,5/4/2019,10.1080/15362426.2019.1618050,0,,,,Editorial,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
